"sub_id";"cat_id";"name";"created_at";"updated_at"
1;1;"Sub categories Sport";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
2;1;"Football";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
3;1;"Snooker";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
4;1;"Swim";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
5;1;"Basketball";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
6;1;"Tennis";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
7;1;"Run";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
8;1;"Boxing";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
9;1;"Bicycle";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
10;1;"Ski";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
11;1;"Skate board";"2019-03-14 11:30:00";"2019-03-14 11:30:00"
