"join_id";"activity_id";"user_id";"created_at";"updated_at"
42;9;18;"2019-03-23 03:27:52";"2019-03-23 03:27:52"
2;1;11;"2019-03-18 11:30:00";"2019-03-18 11:30:00"
3;1;12;"2019-03-19 05:10:52";"2019-03-19 05:10:52"
32;3;14;"2019-03-23 02:01:04";"2019-03-23 02:01:04"
5;6;18;"2019-03-19 23:57:42";"2019-03-19 23:57:42"
7;8;14;"2019-03-20 00:12:19";"2019-03-20 00:12:19"
10;34;14;"2019-03-22 02:36:20";"2019-03-22 02:36:20"
11;9;14;"2019-03-22 02:39:59";"2019-03-22 02:39:59"
12;10;14;"2019-03-22 02:40:07";"2019-03-22 02:40:07"
20;40;18;"2019-03-22 21:14:42";"2019-03-22 21:14:42"
24;10;14;"2019-03-23 00:00:51";"2019-03-23 00:00:51"
25;9;14;"2019-03-23 00:01:20";"2019-03-23 00:01:20"
33;3;14;"2019-03-23 02:01:11";"2019-03-23 02:01:11"
43;10;18;"2019-03-23 03:28:22";"2019-03-23 03:28:22"
47;6;14;"2019-03-23 04:17:50";"2019-03-23 04:17:50"
44;3;14;"2019-03-23 03:35:27";"2019-03-23 03:35:27"
46;1;14;"2019-03-23 03:52:01";"2019-03-23 03:52:01"
40;40;8;"2019-03-23 03:03:23";"2019-03-23 03:03:23"
48;41;14;"2019-03-27 02:48:07";"2019-03-27 02:48:07"
